Título	Fuente	URL	Extracto	Fecha de Extracción	
El Comercio - #Quito / Las autoridades dicen que aún no ...	es-la.facebook.com	https://es-la.facebook.com/elcomerciocom/photos/quito-las-autoridades-dicen-que-a%C3%BAn-no-se-establecen-las-causas-del-deslizamient/1864004523623301/	7 dic 2017 — Quito / Las autoridades dicen que aún no se establecen las causas del deslizamiento en El Troje ... 2017 · ??. Fotos de la biografía · #Quito ...	2025-01-03T00:16:33.351Z	
Pichinchaldia - Mostrando artículos por etiqueta: quito	www.pichinchaldia.gob.ec	http://www.pichinchaldia.gob.ec/discursos/itemlist/tag/quito.html?start=15	Jueves, 07 Diciembre 2017 13:41. Gobierno de Pichincha ... Frente la crisis que enfrenta Quito y tras el deslizamiento de tierra en la escombrera El Troje ...	2025-01-03T00:16:33.351Z	
El Sur de Quito aún clama por agua.	www.ecuadoraldia.com.ec	https://www.ecuadoraldia.com.ec/?p=16038	8 dic 2017 — Además una comisión especial investiga las causas del deslizamiento en El Troje. Es la escombrera más grande de Quito, que el martes 5 de ...	2025-01-03T00:16:33.351Z	
Un fallecido tras deslizamiento que dejó sin agua a Quito	www.vistazo.com	https://www.vistazo.com/actualidad/nacional/un-fallecido-tras-deslizamiento-que-dejo-sin-agua-quito-APVI91561	8 dic 2017 — ... deslizamiento de tierra en el sector El Troje, ocurrido el ... El Troje, ocurrido el 05 de diciembre de 2017. En la reunión, el ...	2025-01-03T00:16:33.351Z	
Gobierno de Pichincha aporta para solventar ...	intranet.pichincha.gob.ec	http://intranet.pichincha.gob.ec/noticias/pichincha/item/4907-gobierno-de-pichincha-aporta-para-solventar-abastecimiento-de-agua-para-quito.html	7 dic 2017 — Frente la crisis que enfrenta Quito y tras el deslizamiento de tierra en la escombrera El Troje, ubicada en el sector sur, afectando el ...	2025-01-03T00:16:33.352Z	
Deslizamiento de tierra en El Troje genera suspensión de ...	lagaleriauio.com	https://lagaleriauio.com/deslizamiento-tierra-suspende-agua-potable/	7 dic 2017 — Deslizamiento de tierra en El Troje genera suspensión de agua potable ... El alcalde de Quito, Mauricio Rodas, afirmó que: “van desde la ...	2025-01-03T00:16:33.352Z	
El abastecimiento de agua en Quito ya es normal	dialoguemos.ec	https://dialoguemos.ec/2017/12/el-abastecimiento-de-agua-en-quito-ya-es-normal-las-clases-en-todo-el-distrito-se-reanudan-el-lunes/	10 dic 2017 — El Municipio de Quito inhabilitó la escombrera de El Troje hasta determinar las causas que originaron el deslizamiento ... 2017. La ...	2025-01-03T00:16:33.353Z	
Un fallecido deja el deslizamiento que provocó ...	www.eluniverso.com	https://www.eluniverso.com/noticias/2017/12/07/nota/6516370/fallecido-deja-deslizamiento-que-provoco-desabastecimiento-agua/	7 dic 2017 — Un fallecido deja el deslizamiento que provocó desabastecimiento de agua en Quito ... deslizamiento de tierra en la escombrera de El Troje. ES-ES.	2025-01-03T00:16:33.353Z	
Suspenden clases en planteles de Quito por deslizamiento	www.vistazo.com	https://www.vistazo.com/actualidad/nacional/suspenden-clases-en-planteles-de-quito-por-deslizamiento-YPVI91436	6 dic 2017 — El derrumbe ocurrió la noche del 05 de diciembre de 2017 cerca de las 23h20 en la escombrera El Troje, suroriente de Quito, provocando que ...	2025-01-03T00:16:33.353Z	
Escasez de agua puso a imaginar qué pasaría durante una ...	www.cotopaxinoticias.com	https://www.cotopaxinoticias.com/escasez-de-agua-puso-a-imaginar-que-pasaria-durante-una-eventual-erupcion-del-cotopaxi/	7 dic 2017 — QUITO (I) | El deslizamiento de tierra y lodo en la escombrera El Troje afectó el 40% de la producción de agua en Quito, ya que una de las ...	2025-01-03T00:16:33.354Z	
Pronto se restablecerá servicio de agua potable en Quito	www.eloficial.ec	https://www.eloficial.ec/municipio-de-quito-trabaja-ininterrumpidamente-para-restablecer-servicio-de-agua-potable/	7 dic 2017 — ... 2017. 0. 702. Facebook · Twitter. seguridad en obras PCC. Avance de obras en El Troje ... deslizamiento de tierra en la escombrera de El Troje.	2025-01-03T00:16:33.355Z	
Mostrando artículos por etiqueta: gobierno de pichincha	www.pichinchaldia.gob.ec	http://www.pichinchaldia.gob.ec/discursos/itemlist/tag/gobierno%20de%20pichincha.html?start=205	Jueves, 14 Diciembre 2017 15:56. Gobierno de Pichincha fue ... Frente la crisis que enfrenta Quito y tras el deslizamiento de tierra en la escombrera El Troje ...	2025-01-03T00:16:33.355Z	
versión final para publicación	www.metrodequito.gob.ec	https://www.metrodequito.gob.ec/wp-content/uploads/IPPF-EPMMQ-02.05.2018.pdf	el Troje IV hasta diciembre de 2017. El 5 de diciembre de 2017, ocurre un deslizamiento de tierra en la escombrera Troje IV, motivo por el cual se suspendió ...	2025-01-03T00:16:33.355Z	
Pichincha	intranet.pichincha.gob.ec	http://intranet.pichincha.gob.ec/noticias/pichincha.html?start=1788	Pichincha. Jueves, 07 Diciembre 2017 13:54. Gobierno de ... Frente la crisis que enfrenta Quito y tras el deslizamiento de tierra en la escombrera El Troje ...	2025-01-03T00:16:33.356Z	
NotiMundo- Marco Antonio Cevallos	 Quito a la espera de ...	soundcloud.com	https://soundcloud.com/fmmundo/notimundo-marco-antonio-cevallos-desabastecimiento-de-agua	7 dic 2017 — Dec 7, 2017. En NotiMundo, el gerente general de la Empresa ... deslizamiento de tierras en la escombrera “El Troje” se iniciarán estu…	2025-01-03T00:16:33.356Z
Clases en Quito se reanudan este lunes 11 de diciembre	www.eldiario.ec	https://www.eldiario.ec/noticias-manabi-ecuador/457124-clases-en-quito-se-reanudan-este-lunes-11-de-diciembre/	10 dic 2017 — ... 2017 luego de un deslizamiento de tierra en el sector El Troje, en el sur de la urbe. Ante ello, la Cartera de Estado tomó esta decisión ...	2025-01-03T00:16:33.356Z	
En la mañana el agua volvió a Quito | Ecuador | Noticias	www.eluniverso.com	https://www.eluniverso.com/noticias/2017/12/09/nota/6517798/manana-agua-volvio-capital/	9 dic 2017 — ... deslizamiento en El Troje, por donde pasa un acueducto de este líquido vital para la capital. ES-ES. español (España). Se ha producido un error.	2025-01-03T00:16:33.356Z	
Escombrera El Troje 4 vuelve a funcionar después de casi ...	quenoticias.com	https://quenoticias.com/comunidad/escombrera-el-troje-4-vuelve-a-funcionar-despues-de-casi-2-anos/	4 sept 2019 — La escombrera fue cerrada desde diciembre del 2017, debido a un deslizamiento ... el trojeescombreraMunicipio de QuitoQuitoresiduos. Qué Noticias.	2025-01-03T00:16:33.356Z	
Estudiantes retornan a clases en Quito tras ...	lanacion.com.ec	https://lanacion.com.ec/estudiantes-retornan-clases-quito-tras-restablecimiento-agua-potable/	Según Rodas, el deslizamiento “generó un flujo de lodo de aproximadamente 1,5 kilómetros ... de El Troje. (EFE). 11 diciembre, 2017. Navegación de entradas.	2025-01-03T00:16:33.356Z	
El agua demorará en llegar hasta los barrios altos de Quito	www.radiosuperk1200.com	https://www.radiosuperk1200.com/el-agua-demorara-en-llegar-hasta-los-barrios-altos-de-quito/	9 dic 2017 — El deslizamiento de 150 000 m3 de lodo de la escombrera El Troje fue lo que provocó el taponamiento de aproximadamente 300 metros de longitud ...	2025-01-03T00:16:33.357Z	
EL TROJE - Susana Castañeda - WordPress.com	susanacastanedaconcejal.wordpress.com	https://susanacastanedaconcejal.wordpress.com/tag/el-troje/	20 sept 2018 — El deslizamiento de tierra en la escombrera de El Troje IV, en diciembre del 2017, que ocasionó que 600.000 habitantes de Quito se queden ...	2025-01-03T00:16:33.358Z	
Blog - Página 5 de 17 - La Galería	lagaleriauio.com	https://lagaleriauio.com/blog/page/5/	3 ene 2018 — El día de martes 5 de diciembre se produjo un deslizamiento de 100 000 m3 de tierra en la escombrera de El Troje. ... Actividades para las Fiestas ...	2025-01-03T00:16:33.358Z	
¿Cuáles son las ciudades de Ecuador con la peor gestión ...	planv.com.ec	https://planv.com.ec/historias/cuales-son-ciudades-ecuador-con-la-peor-gestion-su-basura/	25 jul 2022 — Por ejemplo, en la primera fase de la escombrera El Troje -lugar ... Esas falencias provocaron en 2017 el deslizamiento de escombros ...	2025-01-03T00:16:33.358Z	
Informe de Situación - 28/03/2017 Época lluviosa en Ecuador	www.gestionderiesgos.gob.ec	https://www.gestionderiesgos.gob.ec/wp-content/uploads/downloads/2017/03/InformeSituaci%C3%B3n_EpocaLluviosa_28032017_06h00-1-1.pdf	28 mar 2017 — DESLIZAMIENTO 16/03/2017. Bolívar. Guaranda. Julio E. Moreno. (Catanahuán. Grande). Vía Guaranda-Julio Moreno. (El Troje). DESLIZAMIENTO 27/03/ ...	2025-01-03T00:16:33.358Z	
Quito Sin Agua - etsvida - WordPress.com	etsvida.wordpress.com	https://etsvida.wordpress.com/2017/12/12/quito-sin-agua/	12 dic 2017 — ... deslizamiento de las paredes de contención de la ... El Troje, administrada por contratista del Municipio de Quito, y que provocó…	2025-01-03T00:16:33.359Z	
Quito - Susana Castañeda - WordPress.com	susanacastanedaconcejal.wordpress.com	https://susanacastanedaconcejal.wordpress.com/tag/quito/	Quito en poco tiempo enfrentaría una grave situación de contaminación ambiental. ... El 5 de diciembre de 2017 ocurrió un deslizamiento en la escombrera El Troje ...	2025-01-03T00:16:33.359Z	
Quito	 dos días sin agua | maternidad útil - WordPress.com	maternidadutil.wordpress.com	https://maternidadutil.wordpress.com/2017/12/10/quito-dos-dias-sin-agua/	10 dic 2017 — Tras el deslizamiento de las paredes de contención de la plataforma de la escombrera El Troje, la Capital permaneció sin agua durante dos ...	2025-01-03T00:16:33.359Z
Hallaron cuerpo de maquinista desaparecido tras deslave en ...	www.tvc.com.ec	https://www.tvc.com.ec/noticia/hallaron-cuerpo-de-maquinista-desaparecido-tras-deslave-en-el-troje/	8 dic 2017 — El cuerpo del hombre desaparecido la noche del pasado miércoles en medio del deslizamiento de tierra registrado en la escombrera El Troje, fue ...	2025-01-03T00:16:33.359Z	
Cierre parcial en la avenida Simón Bolívar	www.metroecuador.com.ec	https://www.metroecuador.com.ec/ec/noticias/2017/05/10/cierre-parcial-avenida-simon-bolivar.html	10 may 2017 — El sector del cierre vial es a la altura de El Troje en sentido norte-ser en la Avenida Simón Bolívar. El deslizamiento de tierra se produjo por ...	2025-01-03T00:16:33.359Z	
Quito se quedó sin agua | Huecas de Quito - WordPress.com	raljerezperiodismodigital1.wordpress.com	https://raljerezperiodismodigital1.wordpress.com/2017/12/07/quito-se-quedo-sin-agua/	7 dic 2017 — En el suroriente de Quito, a causa de un derrumbe en la escombrera El Troje ... Quito. El deslizamiento de una importante cantidad de…	2025-01-03T00:16:33.359Z	
"N I X O N ??? X: ""PRECAUCIÓN: Deslizamiento de tierra ..."	x.com	https://x.com/AguantaMijin/status/864100787911368704?lang=ar-x-fm	15 may 2017 — PRECAUCIÓN: Deslizamiento de tierra sobre la Av. Simón Bolívar, a la altura del puente de Catahuango, sector El Troje. Tome precauciones.	2025-01-03T00:16:33.360Z	
